Transaction Date,Type,Market,Amount,Rate inc. fee,Rate ex. fee,Fee,Fee AUD (inc GST),GST AUD,Total AUD,Total (inc GST)
22/05/2020 17:29,Sell,ETH/ZRX,0.39828245,606.2950817,612.4192744,2.4391584905087313 ZRX,1.23,0.11,122.09,241.47669056036358 ZRX
11/05/2020 13:18,Buy,ONE/AUD,11389.52164,0.00439,0.004346535,0.4950495049504937 AUD,0.5,0.05,50,50.00 AUD
10/05/2020 1:09,Sell,ZRX/ETH,200,0.001991412,0.002011528,0.004023055131701037 ETH,1.34,0.12,132.61,0.39828245803839996 ETH
27/04/2020 7:30,Sell,HOT/BNB,0.5148342,2.02841E-05,2.0489E-05,1.05484415151585e-7 BNB,0,0,0,0.000010442957100006987 BNB
27/04/2020 7:30,Buy,BNB/AUD,0.00337837,26.64,26.37630304,0.0008910891089108919 AUD,0,0,0.09,0.09 AUD
27/04/2020 0:42,Buy,HOT/AUD,87085.51483,0.00057301,0.00056744,0.49415841584158215 AUD,0.49,0.04,49.91,49.91 AUD
8/04/2020 8:26,Buy,BNB/AUD,2.49755102,24.5,24.25742575,0.6058415841584193 AUD,0.61,0.06,61.19,61.19 AUD
7/04/2020 22:40,Sell,LINK/AUD,13.7,4.466155,4.511267677,0.6180436717171744 AUD,0.62,0.06,61.19,61.18632349999999 AUD
24/03/2020 10:28,Sell,LINK/XTZ,0.15,1.291946617,1.304996583,0.00195749487432606 XTZ,0.01,0,0.57,0.19379199255828075 XTZ
18/03/2020 15:59,Sell,HOT/XTZ,101,0.000202795,0.000204843,0.00020689177187581745 XTZ,0,0,0.05,0.020482285415706 XTZ
18/03/2020 15:58,Sell,LINK/XTZ,0.10527176,1.328228216,1.341644662,0.0014123729490456427 XTZ,0,0,0.34,0.1398249219555187 XTZ
18/03/2020 15:56,Sell,FTM/XTZ,63.0983108,0.001605809,0.001622029,0.0010234731665033914 XTZ,0,0,0.24,0.10132384348383602 XTZ
17/03/2020 0:51,Buy,XTZ/AUD,99.73984357,2.0052167,1.985363069,1.9801980198019749 AUD,1.98,0.18,200,200.00 AUD
13/03/2020 13:42,Buy,LINK/AUD,56.99392387,3.509146,3.474401981,1.9801980198019749 AUD,1.98,0.18,200,200.00 AUD
13/03/2020 13:14,Buy,BTC/AUD,0.01519706,6580.22,6515.069427,0.9900990099009874 AUD,0.99,0.09,100,100.00 AUD
13/03/2020 13:10,Buy,BNB/AUD,25.38071065,11.82,11.7029703,2.9702970297029765 AUD,2.97,0.27,300,300.00 AUD
13/03/2020 13:02,Buy,BTC/AUD,0.07559881,6613.86,6548.376951,4.95049504950498 AUD,4.95,0.45,500,500.00 AUD
13/03/2020 12:58,Buy,BTC/AUD,0.07302649,6846.83,6779.040112,4.95049504950498 AUD,4.95,0.45,500,500.00 AUD
13/03/2020 12:55,Buy,BTC/AUD,0.07105593,7036.71,6967.039978,4.95049504950498 AUD,4.95,0.45,500,500.00 AUD
13/03/2020 12:52,Buy,BTC/AUD,0.13827701,7231.86,7160.257587,9.90099009900996 AUD,9.9,0.9,1000,1000.00 AUD
13/03/2020 12:30,Buy,FTM/AUD,26560.42497,0.003765,0.003727723,0.9900990099009874 AUD,0.99,0.09,100,100.00 AUD
12/03/2020 23:03,Buy,LINK/AUD,53.19134789,3.76001,3.722782179,1.9801980198019749 AUD,1.98,0.18,200,200.00 AUD
28/02/2020 19:14,Sell,BCH/FTM,0.00004033,43407.64866,43846.10976,0.01768313606463412 FTM,0,0,0.02,1.750630470398781 FTM
27/02/2020 23:07,Sell,LINK/FTM,0.01226472,500.4096429,505.4642857,0.0619937793428571 FTM,0,0,0.07,6.137384154942857 FTM
27/02/2020 23:04,Buy,FTM/AUD,9994.785329,0.011506,0.011392079,1.1386138613861334 AUD,1.14,0.1,115,115.00 AUD
26/02/2020 16:40,Buy,BTC/AUD,0.00354173,14117.38,13977.61842,0.4950495049504937 AUD,0.5,0.05,50,50.00 AUD
21/02/2020 11:50,Sell,TOMO/BCH,151.2867775,0.001486186,0.001501198,0.002271114363283866 BCH,1.3,0.12,128.35,0.22484032196510234 BCH
17/02/2020 21:26,Buy,BTC/AUD,0.00038244,14747.39,14601.39738,0.05584158415841589 AUD,0.06,0.01,5.64,5.64 AUD
17/02/2020 21:18,Buy,ZRX/AUD,270,0.423551,0.419361936,1.132277227722767 AUD,1.13,0.1,114.36,114.36 AUD
13/02/2020 22:05,Buy,TOMO/AUD,151.2867775,0.893006,0.884164356,1.3376237623762393 AUD,1.34,0.12,135.1,135.10 AUD
